mode,n,l1_r2,l1_l2_r2,l2_delta_r2,residual_l2_r2,l2_norm_residual_model
global,3176,0.0014561051059347463,0.0029805939772556966,0.0015244888713209503,0.0014421050267290347,5.8571363219413515
global,3176,8.15399245491788e-05,0.0035011024000314306,0.003419562475482252,0.002529054932487229,7.084102146701432
global,3176,0.0009966980030257089,0.002340994230716764,0.0013442962276910553,0.0010488754874511397,2.9060594215221704
global,3176,0.00037617402600698124,0.001521606570859202,0.0011454325448522207,0.0006461563501873879,3.8773124017743084
global,3176,0.0006059199174877072,0.0027023264815568826,0.0020964065640691754,0.0014535285120875763,5.599533743638583
global,3176,0.0005885165831752692,0.002129332219894753,0.0015408156367194836,0.0012717072185699507,5.475856017606159
global,3176,0.000991109111572408,0.004101490985186307,0.003110381873613899,0.001742092779176141,5.158934240836782
global,3176,0.0011283442080863848,0.0032895670314194714,0.0021612228233330866,0.001554765393732449,4.712487288910334
global,3176,0.00012452192835499254,0.002930520785902724,0.0028059988575477313,0.002022841526970409,6.55044153115269
global,3176,0.0002660322026877271,0.002180479926309875,0.001914447723622148,0.0013759062912163111,6.957002609561931
global,3176,0.0016763246625336459,0.0029850818999463957,0.0013087572374127499,0.0009324226589646489,4.222762180511717
global,3176,0.002033226607628169,0.0025097710321991817,0.00047654442457101265,0.00027706820038619906,2.5940855545421093
global,3176,0.00016269056951623284,0.0011808126020188547,0.001018122032502622,0.0006235122223786638,2.9960141594299077
global,3176,0.00018822558248221544,0.0024510519962696042,0.002262826413787389,0.0015228617518213694,6.478498577255928
global,3176,0.0007819852625375878,0.0020981006445548456,0.0013161153820172578,0.0010822933374576849,5.764188385309373
global,3176,0.000231508994157692,0.0015811610832150436,0.0013496520890573516,0.001240064168590016,4.521191300094909
global,3176,0.00033228910256988264,0.0011308536897889354,0.0007985645872190528,0.0004113963016865174,2.4623583922544503
global,3176,0.0006189857397589371,0.001042954116307282,0.00042396837654834485,0.00029787717194962315,2.059130509006326
global,3176,0.00241337406439579,0.0028215704492851046,0.0004081963848893144,0.00038998078746732556,3.5074746599133455
global,3176,0.0007084215569402863,0.001867045487993435,0.0011586239310531488,0.0007332560636229557,5.32535700911135
global,3176,0.0006375559628010175,0.001321182805025689,0.0006836268422246716,0.00047795317706711415,2.2467202736880165
global,3176,0.0017157726090220038,0.002029509085205383,0.0003137364761833794,0.0002830607471878688,1.759605680196271
global,3176,0.0009202719669330062,0.0021988000505833716,0.0012785280836503654,0.0007251570625596004,2.728259217311538
global,3176,0.001113093801711651,0.002672124520207597,0.0015590307184959462,0.0014498518944267014,3.4473490387683388
global,3176,0.001090547897542593,0.0032074392376320038,0.0021168913400894107,0.001618945565299068,7.373061130353524
global,3176,0.00038413977105389296,0.001524356618169631,0.0011402168471157381,0.000626159008076943,3.120973543397215
global,3176,0.0004312257123040286,0.002764302489996484,0.0023330767776924555,0.0016675178336376106,4.5726131473740805
